variedad,edad,cortes,lluvias,grupo_tenencia,pct_diatrea,tipocorte,madurada,dosismad,semsmad,vejez,mes,me,TCH,sacarosa,nivel_TCH,nivel_sacarosa,variedad_cod,tipocorte_cod,madurada_cod,nivel_TCH_num,nivel_sacarosa_num
CC01-1940,11.3,4,0,3,3.5,Mecanizado Verde,SI,1.0,5.3,3.6,5,8.5,73,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,12.6,2,0,3,3.7,Mecanizado Verde,SI,1.2,7.0,3.0,5,11.6,155,11.2,Alto,Bajo,0,0,0,2,0
CC01-1940,12.6,3,0,3,4.3,Mecanizado Verde,SI,1.4,5.1,2.7,5,7.2,109,11.7,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.3,4,0,3,3.6,Mecanizado Verde,SI,1.0,5.3,3.0,5,5.3,86,13.4,Bajo,Alto,0,0,0,0,2
CC01-1940,12.6,4,218,2,3.9,Mecanizado Verde,SI,1.2,9.6,1.9,12,9.5,144,12.3,Medio,Bajo,0,0,0,1,0
CC01-1940,13.1,1,216,2,3.2,Mecanizado Verde,SI,1.4,8.6,1.7,8,7.7,147,12.8,Medio,Medio,0,0,0,1,1
CC01-1940,11.1,2,27,2,8.7,Mecanizado Verde,SI,0.8,5.7,1.7,7,9.4,140,12.1,Medio,Bajo,0,0,0,1,0
CC01-1940,13.0,1,216,2,7.2,Mecanizado Verde,SI,1.4,8.9,16.9,8,8.0,149,13.7,Medio,Alto,0,0,0,1,2
CC01-1940,13.1,2,117,2,2.4,Mecanizado Verde,SI,1.2,11.7,9.7,10,9.8,135,13.6,Medio,Alto,0,0,0,1,2
CC01-1940,13.6,1,414,3,0.7,Mecanizado Verde,SI,0.8,9.4,6.1,7,11.6,145,11.9,Medio,Bajo,0,0,0,1,0
CC01-1940,12.8,1,0,3,0.7,Mecanizado Verde,SI,1.0,5.6,5.3,3,7.8,130,12.7,Bajo,Medio,0,0,0,0,1
CC01-1940,12.4,1,0,3,0.7,Mecanizado Verde,SI,1.0,5.7,4.6,3,9.5,142,13.7,Medio,Alto,0,0,0,1,2
